no;y;i_var;g_var;treatment;group
1;0.986768247;-0.377237647;-1.806031257;0;1
2;-0.423633009;0.097619463;-1.806031257;0;1
3;0.755497144;1.638744645;-1.806031257;0;1
4;-2.189766991;-0.875592474;-1.806031257;0;1
5;-0.575543526;0.121759999;-1.806031257;0;1
6;0.978193116;1.362130661;-1.806031257;0;1
7;0.501571392;-0.234621087;-1.806031257;0;1
8;-1.284232322;-1.053382808;-1.806031257;0;1
9;-3.016607801;-0.869783606;-1.806031257;0;1
10;-2.39222346;-0.39012703;-1.806031257;0;1
11;-3.214979542;-0.847350073;-1.806031257;0;1
12;-0.003876918;-0.260639392;-1.806031257;0;1
13;-2.628788365;-0.414419706;-1.806031257;0;1
14;-1.565512595;-0.183050798;-1.806031257;0;1
15;-1.605318768;0.407056098;-1.806031257;0;1
16;1.022435114;0.624633128;-1.806031257;0;1
17;2.406710767;1.678205744;-1.806031257;0;1
18;-0.106291488;-0.068693654;-1.806031257;0;1
19;-2.066604933;-0.320839913;-1.806031257;0;1
20;0.365921131;1.471005717;-1.806031257;0;1
21;1.147043264;1.704329398;-1.806031257;0;1
22;-0.569535898;0.043244038;-1.806031257;0;1
23;-2.30655714;-0.332657319;-1.806031257;0;1
24;-2.860821892;-1.822235418;-1.806031257;0;1
25;1.87971899;1.411262399;-1.806031257;0;1
26;-2.695164218;-0.837582434;-1.806031257;0;1
27;-1.144577712;-1.123762794;-1.806031257;0;1
28;1.859947114;3.043765886;-1.806031257;0;1
29;-0.353546306;0.235021308;-1.806031257;0;1
30;-0.24119475;-0.03325861;-1.806031257;0;1
31;-1.151015602;-2.732219523;-0.582075925;1;2
32;3.173312145;-0.099790588;-0.582075925;1;2
33;0.65149953;0.976031735;-0.582075925;1;2
34;2.166576291;0.413868915;-0.582075925;1;2
35;3.177474196;0.912322162;-0.582075925;1;2
36;3.382637614;1.983732201;-0.582075925;1;2
37;1.786588296;1.169108514;-0.582075925;1;2
38;3.208332261;-0.508737015;-0.582075925;1;2
39;3.270419282;0.704180178;-0.582075925;1;2
40;2.489656345;-0.198416274;-0.582075925;1;2
41;-0.499165726;-0.538070789;-0.582075925;1;2
42;-1.996748285;-2.855758655;-0.582075925;1;2
43;-1.759635956;-0.789646852;-0.582075925;1;2
44;2.308866021;0.487814635;-0.582075925;1;2
45;1.489790254;2.16803254;-0.582075925;1;2
46;-0.386812961;0.500694614;-0.582075925;1;2
47;2.710386971;0.620210204;-0.582075925;1;2
48;-1.43058001;-0.96590321;-0.582075925;1;2
49;1.048919869;0.162654708;-0.582075925;1;2
50;-0.21930783;-2.078237542;-0.582075925;1;2
51;1.785133573;0.485226821;-0.582075925;1;2
52;2.985471342;0.696768779;-0.582075925;1;2
53;0.592140523;0.185513916;-0.582075925;1;2
54;1.602201368;0.700733516;-0.582075925;1;2
55;0.165873813;0.311681029;-0.582075925;1;2
56;0.498182313;0.760462362;-0.582075925;1;2
57;3.215631761;1.842463626;-0.582075925;1;2
58;2.038949518;1.112362841;-0.582075925;1;2
59;2.173194846;0.032663958;-0.582075925;1;2
60;-0.964153477;-1.114448965;-0.582075925;1;2
61;0.650423794;0.418057822;-1.108889624;1;3
62;3.219887674;-0.400235237;-1.108889624;1;3
63;2.784348452;1.493493103;-1.108889624;1;3
64;-0.158555811;-1.60708094;-1.108889624;1;3
65;-0.731476258;-0.415751788;-1.108889624;1;3
66;3.710283075;0.422008373;-1.108889624;1;3
67;2.023330266;-0.151736537;-1.108889624;1;3
68;1.996178464;-0.606151115;-1.108889624;1;3
69;1.545318328;-0.304721069;-1.108889624;1;3
70;1.397976986;0.6295361;-1.108889624;1;3
71;1.099549544;0.89517198;-1.108889624;1;3
72;0.536394569;0.660212632;-1.108889624;1;3
73;3.644423442;2.27348352;-1.108889624;1;3
74;1.305847967;1.173497573;-1.108889624;1;3
75;1.42219786;0.287709728;-1.108889624;1;3
76;0.389003669;-0.659770094;-1.108889624;1;3
77;4.348180921;2.919140131;-1.108889624;1;3
78;1.280132879;0.6774155;-1.108889624;1;3
79;0.447186458;-0.684320344;-1.108889624;1;3
80;0.094533399;0.186492083;-1.108889624;1;3
81;-0.542673188;-0.3243933;-1.108889624;1;3
82;0.231666777;-0.274704218;-1.108889624;1;3
83;-1.223672174;-0.933503341;-1.108889624;1;3
84;1.268929593;0.116845345;-1.108889624;1;3
85;3.0492474;0.319160239;-1.108889624;1;3
86;-0.377584248;-1.077542123;-1.108889624;1;3
87;-1.831033378;-3.233152133;-1.108889624;1;3
88;-0.354699425;-0.254874653;-1.108889624;1;3
89;1.869877377;0.02951783;-1.108889624;1;3
90;1.413654404;0.594273774;-1.108889624;1;3
91;-1.819941561;0.059135168;-1.014962009;1;4
92;1.935730023;0.413398895;-1.014962009;1;4
93;0.669425675;-1.097772175;-1.014962009;1;4
94;2.287015819;0.711175257;-1.014962009;1;4
95;1.675540748;0.71888873;-1.014962009;1;4
